From Dowsett (1986),From Bowie (2003),Exclude,Order,Genus,Superspecies,Species,Group,Subspecies,Upper Guinea Highlands,Bioko,Mt. Cameroon,Cameroon Highlands,Bamenda & Adamawa,Monte Alen,Lendu,West Rift,Rwenzori,East Rift,Kabobo,Marungu,Mahale,North Somali Mtns,Djibouti,West Ethiopia,East Ethiopia,S Eth-N Ken,Imatong,Elgon,West Kenya,Kenya-Aberdare,Ngorongoro,Meru,Kilimanjaro,Taita,Pare,Usambara,Nguu,Nguru,Ukaguru,Rubeho,Uluguru,Udzungwa,Southern Highlands,Nyika,Kaningina,Dedza-Salima,Zomba,Thyolo,Mulanje,Namuli,Gorongosa,Chimanimani,N Drakensberg,S Drakensberg,Cape Fold Mountains,Central African Plateau (Zambia),Angola,Rondo Plateau,Mayombe
,,Exclude,595,Saxicola,torquatus,torquatus,torquatus,jebelmarrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Exclude,596,Saxicola,torquatus,torquatus,torquatus,moptanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,597,Saxicola,torquatus,torquatus,torquatus,nebularum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,598,Saxicola,torquatus,torquatus,torquatus,oreobates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,599,Saxicola,torquatus,torquatus,torquatus,pallidigula,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,600,Saxicola,torquatus,torquatus,torquatus,promiscuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
,,,601,Saxicola,torquatus,torquatus,torquatus,salax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,602,Saxicola,torquatus,torquatus,torquatus,stonei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
,,,603,Saxicola,torquatus,torquatus,torquatus,torquatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
,,Exclude,604,Saxicola,torquatus,torquatus,torquatus,voeltzkowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,605,Pinarochroa,sordida,sordida,sordida,ernesti,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,606,Pinarochroa,sordida,sordida,sordida,hypospodia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,607,Pinarochroa,sordida,sordida,sordida,olimotiensis,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,608,Pinarochroa,sordida,sordida,sordida,sordida,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,609,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,albiscapulata,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,610,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,autochthones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,Yes,,611,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,bambarae,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,612,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,Yes,,613,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,coronata,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,614,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,kordofanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,615,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,odica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
,Yes,,616,Thamnolaea,cinnamomeiventris,cinnamomeiventris,cinnamomeiventris,subrufipennis,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Yes,Yes,,617,Thamnolaea,semirufa,semirufa,semirufa,semirufa,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,618,Myrmecocichla,melaena,melaena,melaena,melaena,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,Exclude,619,Oenanthe,bottae,bottae,bottae,bottae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,620,Oenanthe,bottae,bottae,frenata,frenata,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,621,Oenanthe,dubia,dubia,dubia,dubia,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,622,Oenanthe,lugubris,lugubris,lugubris,lugubris,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,623,Oenanthe,lugubris,lugubris,lugubris,schalowi,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,624,Oenanthe,lugubris,lugubris,lugubris,vauriei,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,625,Promerops,gurneyi,gurneyi,gurneyi,ardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Yes,Yes,,626,Promerops,gurneyi,gurneyi,gurneyi,gurneyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Yes,Yes,,627,Promerops,cafer,cafer,cafer,cafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Yes,Yes,,628,Modulatrix,stictigula,stictigula,stictigula,pressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,
Yes,Yes,,629,Modulatrix,stictigula,stictigula,stictigula,stictigula,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,630,Arcanator,orostruthus,orostruthus,orostruthus,amani,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,631,Arcanator,orostruthus,orostruthus,orostruthus,orostruthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Yes,Yes,,632,Arcanator,orostruthus,orostruthus,orostruthus,sanjei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yes,Yes,,633,Kakamega,poliothorax,poliothorax,poliothorax,poliothorax,,1,1,1,1,,1,1,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,634,Anthreptes,rubritorques,rubritorques,rubritorques,rubritorques,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,
,Yes,,635,Hedydipna,pallidigaster,pallidigaster,pallidigaster,pallidigaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,636,Anthobaphes,violacea,violacea,violacea,violacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Yes,Yes,,637,Cyanomitra,oritis,oritis,bansoensis,bansoensis,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,638,Cyanomitra,oritis,oritis,oritis,oritis,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,639,Cyanomitra,oritis,oritis,poensis,poensis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,640,Cyanomitra,alinae,alinae,alinae,alinae,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,641,Cyanomitra,alinae,alinae,alinae,derooi,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,642,Cyanomitra,alinae,alinae,alinae,kaboboensis,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,643,Cyanomitra,alinae,alinae,alinae,marungensis,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,644,Cyanomitra,alinae,alinae,alinae,tanganjicae,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,645,Nectarinia,bocagei,bocagei,bocagei,bocagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Yes,Yes,,646,Nectarinia,purpureiventris,purpureiventris,purpureiventris,purpureiventris,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
